cdmTableName,cdmFieldName,checkName,Threshold,checkParameter,checkParameter_conceptId,checkParameter_conceptName,checkParameter_unitConceptId,checkParameter_unitConceptName,Notes
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,197609,"Cervical, vaginal and vulval inflammatory diseases",,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,197610,Cyst of ovary,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,197938,Uterine inertia,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,198082,Overlapping malignant neoplasm of body of uterus,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,198108,Benign neoplasm of fallopian tubes and uterine ligaments,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,198194,Female genital organ symptoms,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,198197,Male infertility,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,198198,Polyp of vagina,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,198202,Cystocele,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,198212,Spotting per vagina in pregnancy,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,198363,Candidiasis of vagina,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,198471,Complex endometrial hyperplasia,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,198483,Stricture or atresia of the vagina,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,198803,Benign prostatic hyperplasia,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,198806,Abscess of prostate,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,199067,Female pelvic inflammatory disease,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,199078,Vaginal wall prolapse,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,199752,Secondary malignant neoplasm of ovary,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,199764,Benign neoplasm of ovary,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,199876,Prolapse of female genital organs,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,199877,Mucous polyp of cervix,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,199878,Light and infrequent menstruation,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,199881,Endometriosis of ovary,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,200051,Primary malignant neoplasm of ovary,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,200052,Primary malignant neoplasm of uterine adnexa,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,200147,Atrophy of prostate,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,200445,Chronic prostatitis,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,200452,Disorder of female genital organs,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,200461,Endometriosis of uterus,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,200670,Benign neoplasm of male genital organ,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,200675,Neoplasm of uncertain behavior of ovary,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,200775,Endometrial hyperplasia,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,200779,Polyp of corpus uteri,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,200780,Disorder of uterus,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,200962,Primary malignant neoplasm of prostate,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,200970,Carcinoma in situ of prostate,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Male,201072,Benign prostatic hypertrophy without outflow obstruction,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,201078,Atrophic vaginitis,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,201211,Herpetic vulvovaginitis,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,201238,Primary malignant neoplasm of female genital organ,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,201244,Benign neoplasm of vagina,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,plausibleGender,5,Female,201257,Disorder of endocrine ovary,,,
